state_name,user_year,quarter,reguser,appopens
puducherry,2018,1,49318,0
tamil nadu,2018,1,2104754,0
uttar pradesh,2018,1,4694250,0
madhya pradesh,2018,1,2553603,0
andhra pradesh,2018,1,3336450,0
tripura,2018,1,55157,0
lakshadweep,2018,1,501,0
manipur,2018,1,29925,0
maharashtra,2018,1,6106994,0
dadra & nagar haveli & daman & diu,2018,1,53258,0
meghalaya,2018,1,18513,0
andaman & nicobar islands,2018,1,6740,0
haryana,2018,1,1847357,0
rajasthan,2018,1,3158202,0
ladakh,2018,1,8784,0
punjab,2018,1,847142,0
assam,2018,1,385237,0
jharkhand,2018,1,885762,0
odisha,2018,1,1594015,0
bihar,2018,1,2133804,0
kerala,2018,1,784184,0
karnataka,2018,1,3717763,0
chandigarh,2018,1,86268,0
telangana,2018,1,3315560,0
himachal pradesh,2018,1,227373,0
west bengal,2018,1,2604789,0
gujarat,2018,1,2690048,0
sikkim,2018,1,20051,0
nagaland,2018,1,15074,0
mizoram,2018,1,7593,0
chhattisgarh,2018,1,679263,0
jammu & kashmir,2018,1,176425,0
goa,2018,1,91936,0
arunachal pradesh,2018,1,21495,0
delhi,2018,1,2087022,0
uttarakhand,2018,1,483043,0
puducherry,2018,2,65580,0
tamil nadu,2018,2,2996036,0
uttar pradesh,2018,2,6442554,0
madhya pradesh,2018,2,3441662,0
andhra pradesh,2018,2,4402540,0
tripura,2018,2,83369,0
lakshadweep,2018,2,686,0
manipur,2018,2,46055,0
maharashtra,2018,2,8222371,0
dadra & nagar haveli & daman & diu,2018,2,71458,0
meghalaya,2018,2,26618,0
andaman & nicobar islands,2018,2,9405,0
haryana,2018,2,2447221,0
rajasthan,2018,2,4212964,0
ladakh,2018,2,12918,0
punjab,2018,2,1152190,0
assam,2018,2,571046,0
jharkhand,2018,2,1230599,0
odisha,2018,2,2185781,0
bihar,2018,2,3005872,0
kerala,2018,2,1066587,0
karnataka,2018,2,5030665,0
chandigarh,2018,2,115219,0
telangana,2018,2,4260115,0
himachal pradesh,2018,2,315299,0
west bengal,2018,2,3833795,0
gujarat,2018,2,3565825,0
sikkim,2018,2,28097,0
nagaland,2018,2,22436,0
mizoram,2018,2,10422,0
chhattisgarh,2018,2,950675,0
jammu & kashmir,2018,2,261609,0
goa,2018,2,122174,0
arunachal pradesh,2018,2,32883,0
delhi,2018,2,2756141,0
uttarakhand,2018,2,649142,0
puducherry,2018,3,81546,0
tamil nadu,2018,3,3900177,0
uttar pradesh,2018,3,8096483,0
madhya pradesh,2018,3,4309309,0
andhra pradesh,2018,3,5427617,0
tripura,2018,3,116874,0
lakshadweep,2018,3,918,0
manipur,2018,3,61935,0
maharashtra,2018,3,10435033,0
dadra & nagar haveli & daman & diu,2018,3,92107,0
meghalaya,2018,3,37281,0
andaman & nicobar islands,2018,3,12149,0
haryana,2018,3,3020398,0
rajasthan,2018,3,5175453,0
ladakh,2018,3,17749,0
punjab,2018,3,1473148,0
assam,2018,3,784802,0
jharkhand,2018,3,1532362,0
odisha,2018,3,2795718,0
bihar,2018,3,3784535,0
kerala,2018,3,1347598,0
karnataka,2018,3,6372649,0
chandigarh,2018,3,143893,0
telangana,2018,3,5138501,0
himachal pradesh,2018,3,407634,0
west bengal,2018,3,4851740,0
gujarat,2018,3,4433183,0
sikkim,2018,3,37637,0
nagaland,2018,3,32090,0
mizoram,2018,3,14502,0
chhattisgarh,2018,3,1217792,0
jammu & kashmir,2018,3,342529,0
goa,2018,3,153802,0
arunachal pradesh,2018,3,45922,0
delhi,2018,3,3504911,0
uttarakhand,2018,3,810612,0
puducherry,2018,4,109494,0
tamil nadu,2018,4,5199878,0
uttar pradesh,2018,4,10341964,0
madhya pradesh,2018,4,5365442,0
andhra pradesh,2018,4,6857409,0
tripura,2018,4,153265,0
lakshadweep,2018,4,1156,0
manipur,2018,4,82589,0
maharashtra,2018,4,13381602,0
dadra & nagar haveli & daman & diu,2018,4,116511,0
meghalaya,2018,4,49634,0
andaman & nicobar islands,2018,4,15222,0
haryana,2018,4,3793079,0
rajasthan,2018,4,6358738,0
ladakh,2018,4,23883,0
punjab,2018,4,1865715,0
assam,2018,4,1039221,0
jharkhand,2018,4,1913949,0
odisha,2018,4,3623911,0
bihar,2018,4,4776665,0
kerala,2018,4,1757326,0
karnataka,2018,4,8315802,0
chandigarh,2018,4,177747,0
telangana,2018,4,6529679,0
himachal pradesh,2018,4,526343,0
west bengal,2018,4,6279278,0
gujarat,2018,4,5579040,0
sikkim,2018,4,48538,0
nagaland,2018,4,42997,0
mizoram,2018,4,19365,0
chhattisgarh,2018,4,1579998,0
jammu & kashmir,2018,4,436563,0
goa,2018,4,195350,0
arunachal pradesh,2018,4,61852,0
delhi,2018,4,4630313,0
uttarakhand,2018,4,1012103,0
puducherry,2019,1,133059,0
tamil nadu,2019,1,6296303,0
uttar pradesh,2019,1,12458661,0
madhya pradesh,2019,1,6414403,0
andhra pradesh,2019,1,8283019,0
tripura,2019,1,183254,0
lakshadweep,2019,1,1416,0
manipur,2019,1,99527,0
maharashtra,2019,1,16284451,0
dadra & nagar haveli & daman & diu,2019,1,140532,0
meghalaya,2019,1,61487,0
andaman & nicobar islands,2019,1,18596,0
haryana,2019,1,4538767,0
rajasthan,2019,1,7712204,0
ladakh,2019,1,29649,0
punjab,2019,1,2226590,0
assam,2019,1,1259085,0
jharkhand,2019,1,2279329,0
odisha,2019,1,4320744,0
bihar,2019,1,5745117,0
kerala,2019,1,2136624,0
karnataka,2019,1,10266174,0
chandigarh,2019,1,209175,0
telangana,2019,1,7963425,0
himachal pradesh,2019,1,653205,0
west bengal,2019,1,7449425,0
gujarat,2019,1,6652536,0
sikkim,2019,1,58956,0
nagaland,2019,1,53911,0
mizoram,2019,1,23670,0
chhattisgarh,2019,1,1908898,0
jammu & kashmir,2019,1,530669,0
goa,2019,1,238152,0
arunachal pradesh,2019,1,76957,0
delhi,2019,1,5499263,0
uttarakhand,2019,1,1224955,0
puducherry,2019,2,156458,661932
tamil nadu,2019,2,7429609,33658961
uttar pradesh,2019,2,14316349,78394040
madhya pradesh,2019,2,7301172,50642151
andhra pradesh,2019,2,9389003,81375251
tripura,2019,2,217644,953627
lakshadweep,2019,2,1747,4580
manipur,2019,2,117747,464829
maharashtra,2019,2,18776975,109967705
dadra & nagar haveli & daman & diu,2019,2,158580,860686
meghalaya,2019,2,74746,395764
andaman & nicobar islands,2019,2,21731,52640
haryana,2019,2,5178030,31929195
rajasthan,2019,2,8783935,62787336
ladakh,2019,2,35516,157317
punjab,2019,2,2600112,10928094
assam,2019,2,1500128,7350326
jharkhand,2019,2,2604854,14929066
odisha,2019,2,4845359,33955545
bihar,2019,2,6589759,39607022
kerala,2019,2,2550167,8673220
karnataka,2019,2,11968087,113024811
chandigarh,2019,2,240439,1220176
telangana,2019,2,9046007,80842302
himachal pradesh,2019,2,772603,3321711
west bengal,2019,2,8612795,49514201
gujarat,2019,2,7574645,34890301
sikkim,2019,2,70999,398520
nagaland,2019,2,66891,362497
mizoram,2019,2,28696,133025
chhattisgarh,2019,2,2191066,13206373
jammu & kashmir,2019,2,631193,2705373
goa,2019,2,278940,1352232
arunachal pradesh,2019,2,95885,502873
delhi,2019,2,6165448,43731570
uttarakhand,2019,2,1414339,7454279
puducherry,2019,3,177868,2476922
tamil nadu,2019,3,8428835,124690342
uttar pradesh,2019,3,16044607,268142606
madhya pradesh,2019,3,8180664,192353380
andhra pradesh,2019,3,10458693,310953542
tripura,2019,3,245456,3350991
lakshadweep,2019,3,2117,15038
manipur,2019,3,136316,1594205
maharashtra,2019,3,21313081,439998413
dadra & nagar haveli & daman & diu,2019,3,176929,3126189
meghalaya,2019,3,87395,1387814
andaman & nicobar islands,2019,3,23931,171107
haryana,2019,3,5783752,118332587
rajasthan,2019,3,9797304,238338999
ladakh,2019,3,39173,503126
punjab,2019,3,2962713,40860886
assam,2019,3,1731523,25393673
jharkhand,2019,3,2915511,55504460
odisha,2019,3,5387209,130181456
bihar,2019,3,7380265,126521298
kerala,2019,3,2990963,31471694
karnataka,2019,3,13635075,445683660
chandigarh,2019,3,267337,4625196
telangana,2019,3,10090557,318124511
himachal pradesh,2019,3,876184,10720741
west bengal,2019,3,9643222,176559011
gujarat,2019,3,8429299,129441484
sikkim,2019,3,82128,1316804
nagaland,2019,3,80077,1244022
mizoram,2019,3,34134,457834
chhattisgarh,2019,3,2435058,46362341
jammu & kashmir,2019,3,658455,3843919
goa,2019,3,317194,4753892
arunachal pradesh,2019,3,112149,1811700
delhi,2019,3,6782286,163381027
uttarakhand,2019,3,1585859,24660988
puducherry,2019,4,204292,3263122
tamil nadu,2019,4,9620493,155011717
uttar pradesh,2019,4,17949542,324068625
madhya pradesh,2019,4,9165241,237844976
andhra pradesh,2019,4,11757883,411201518
tripura,2019,4,272298,3610807
lakshadweep,2019,4,2427,17760
manipur,2019,4,155358,1855488
maharashtra,2019,4,23745297,543654112
dadra & nagar haveli & daman & diu,2019,4,197598,3770543
meghalaya,2019,4,100030,1490542
andaman & nicobar islands,2019,4,25960,177012
haryana,2019,4,6366679,136721888
rajasthan,2019,4,10925031,288904693
ladakh,2019,4,43108,470440
punjab,2019,4,3321742,47673880
assam,2019,4,1941220,26599449
jharkhand,2019,4,3281371,70181789
odisha,2019,4,6115537,189905719
bihar,2019,4,8342274,163998097
kerala,2019,4,3503938,40046033
karnataka,2019,4,15385416,569674870
chandigarh,2019,4,289590,4960441
telangana,2019,4,11220691,399239044
himachal pradesh,2019,4,985945,12637904
west bengal,2019,4,10885058,244326613
gujarat,2019,4,9323799,147973757
sikkim,2019,4,92972,1552004
nagaland,2019,4,93124,1454551
mizoram,2019,4,39809,529168
chhattisgarh,2019,4,2725900,57278977
jammu & kashmir,2019,4,673367,998572
goa,2019,4,353546,6290543
arunachal pradesh,2019,4,129321,2140340
delhi,2019,4,7289883,172682671
uttarakhand,2019,4,1752677,28853867
puducherry,2020,1,230908,3820943
tamil nadu,2020,1,10872368,179908753
uttar pradesh,2020,1,20136256,374282083
madhya pradesh,2020,1,10151371,262452480
andhra pradesh,2020,1,13022060,486513773
tripura,2020,1,299962,4063223
lakshadweep,2020,1,2772,21982
manipur,2020,1,177374,2175642
maharashtra,2020,1,26168390,615146568
dadra & nagar haveli & daman & diu,2020,1,218496,4195122
meghalaya,2020,1,113814,1716211
andaman & nicobar islands,2020,1,28368,193586
haryana,2020,1,7018770,157793468
rajasthan,2020,1,12142053,341815756
ladakh,2020,1,47790,590484
punjab,2020,1,3739502,53853710
assam,2020,1,2185938,33097892
jharkhand,2020,1,3651393,74014713
odisha,2020,1,6652970,175918622
bihar,2020,1,9351234,183868505
kerala,2020,1,4078316,46396398
karnataka,2020,1,17016980,626488036
chandigarh,2020,1,312887,5201211
telangana,2020,1,12306860,454723816
himachal pradesh,2020,1,1106025,14640104
west bengal,2020,1,11960822,207068218
gujarat,2020,1,10259843,165605122
sikkim,2020,1,104631,1697163
nagaland,2020,1,107143,1684520
mizoram,2020,1,46499,644683
chhattisgarh,2020,1,3016487,64224101
jammu & kashmir,2020,1,735408,4476894
goa,2020,1,391900,7147233
arunachal pradesh,2020,1,149066,2598321
delhi,2020,1,7826197,178263986
uttarakhand,2020,1,1943606,32631265
puducherry,2020,2,255600,3057608
tamil nadu,2020,2,12150786,144907447
uttar pradesh,2020,2,22498519,383703534
madhya pradesh,2020,2,11374423,253770044
andhra pradesh,2020,2,14319675,494341698
tripura,2020,2,336666,4443221
lakshadweep,2020,2,3187,29202
manipur,2020,2,215496,3011491
maharashtra,2020,2,28765086,506354812
dadra & nagar haveli & daman & diu,2020,2,244814,4505127
meghalaya,2020,2,136211,2205253
andaman & nicobar islands,2020,2,32710,305072
haryana,2020,2,7682878,143650123
rajasthan,2020,2,13563201,329941181
ladakh,2020,2,53034,695673
punjab,2020,2,4225481,51289576
assam,2020,2,2550883,39304924
jharkhand,2020,2,4061035,76339276
odisha,2020,2,7258315,154682772
bihar,2020,2,10603767,218435035
kerala,2020,2,4728844,45832953
karnataka,2020,2,18655366,490510075
chandigarh,2020,2,336351,3451250
telangana,2020,2,13378191,367130505
himachal pradesh,2020,2,1249867,16125580
west bengal,2020,2,13222022,198589332
gujarat,2020,2,11392657,155264359
sikkim,2020,2,119921,1912335
nagaland,2020,2,130205,2119279
mizoram,2020,2,55574,739308
chhattisgarh,2020,2,3401658,68493384
jammu & kashmir,2020,2,845294,9856653
goa,2020,2,430639,5310126
arunachal pradesh,2020,2,177534,3387006
delhi,2020,2,8391139,142852253
uttarakhand,2020,2,2148567,31074793
puducherry,2020,3,285173,4222159
tamil nadu,2020,3,13643451,194683284
uttar pradesh,2020,3,24838116,450784508
madhya pradesh,2020,3,12564224,324850994
andhra pradesh,2020,3,15692405,696300382
tripura,2020,3,376731,5777908
lakshadweep,2020,3,3644,32128
manipur,2020,3,258563,3552375
maharashtra,2020,3,31409513,668197101
dadra & nagar haveli & daman & diu,2020,3,267946,4421499
meghalaya,2020,3,157741,2384534
andaman & nicobar islands,2020,3,41335,515565
haryana,2020,3,8398816,188614769
rajasthan,2020,3,14969412,436682870
ladakh,2020,3,58401,1015680
punjab,2020,3,4694233,58946732
assam,2020,3,2830011,41875278
jharkhand,2020,3,4480027,99318784
odisha,2020,3,7901755,205597666
bihar,2020,3,11763213,266652644
kerala,2020,3,5582300,64309022
karnataka,2020,3,20487550,693683212
chandigarh,2020,3,362588,4888739
telangana,2020,3,14590882,527781925
himachal pradesh,2020,3,1378634,18411750
west bengal,2020,3,14448366,246554831
gujarat,2020,3,12467847,184402472
sikkim,2020,3,134773,2156470
nagaland,2020,3,173106,2868642
mizoram,2020,3,68315,924865
chhattisgarh,2020,3,3799386,86918606
jammu & kashmir,2020,3,949819,11443454
goa,2020,3,474962,6129766
arunachal pradesh,2020,3,206046,4003421
delhi,2020,3,9044174,190025029
uttarakhand,2020,3,2365438,40377348
puducherry,2020,4,319626,6377136
tamil nadu,2020,4,15357586,288233552
uttar pradesh,2020,4,27249134,552220798
madhya pradesh,2020,4,13737947,405571446
andhra pradesh,2020,4,17076565,869078538
tripura,2020,4,409110,6017249
lakshadweep,2020,4,4179,41144
manipur,2020,4,288772,3783432
maharashtra,2020,4,34432631,952006770
dadra & nagar haveli & daman & diu,2020,4,296493,6196436
meghalaya,2020,4,176447,2745917
andaman & nicobar islands,2020,4,52396,887208
haryana,2020,4,9129873,236101307
rajasthan,2020,4,16329494,511015109
ladakh,2020,4,64853,1232757
punjab,2020,4,5157868,71191183
assam,2020,4,3106153,49321814
jharkhand,2020,4,4917938,126310835
odisha,2020,4,8598751,270085293
bihar,2020,4,12889833,317056600
kerala,2020,4,6387169,91415273
karnataka,2020,4,22400182,935510690
chandigarh,2020,4,391402,6477974
telangana,2020,4,15927797,764614235
himachal pradesh,2020,4,1508766,22001148
west bengal,2020,4,15662093,291721919
gujarat,2020,4,13605203,230497353
sikkim,2020,4,148543,2478670
nagaland,2020,4,192188,2922121
mizoram,2020,4,78731,1096182
chhattisgarh,2020,4,4190601,109900467
jammu & kashmir,2020,4,1079022,16018751
goa,2020,4,527584,10991118
arunachal pradesh,2020,4,231292,4472667
delhi,2020,4,9747968,243433752
uttarakhand,2020,4,2596244,52564888
puducherry,2021,1,346279,7914507
tamil nadu,2021,1,16632608,348801714
uttar pradesh,2021,1,29482075,639718324
madhya pradesh,2021,1,14839427,482500276
andhra pradesh,2021,1,18363733,957709447
tripura,2021,1,439636,6009660
lakshadweep,2021,1,4577,47283
manipur,2021,1,312668,3709227
maharashtra,2021,1,37077537,1101976484
dadra & nagar haveli & daman & diu,2021,1,321396,7302462
meghalaya,2021,1,190869,2939026
andaman & nicobar islands,2021,1,57758,1004336
haryana,2021,1,9827905,266686683
rajasthan,2021,1,17661088,632535059
ladakh,2021,1,69919,1184204
punjab,2021,1,5568777,81052268
assam,2021,1,3358448,56752364
jharkhand,2021,1,5313049,141731331
odisha,2021,1,9233009,301315474
bihar,2021,1,13946288,355792608
kerala,2021,1,6936943,108918733
karnataka,2021,1,24095832,1084917385
chandigarh,2021,1,419998,7919533
telangana,2021,1,17149069,920040042
himachal pradesh,2021,1,1622951,24228094
west bengal,2021,1,16808799,316832674
gujarat,2021,1,14670126,264732874
sikkim,2021,1,160213,2795331
nagaland,2021,1,207808,2980581
mizoram,2021,1,85750,1193214
chhattisgarh,2021,1,4514551,124648704
jammu & kashmir,2021,1,1174818,18834009
goa,2021,1,570035,15467672
arunachal pradesh,2021,1,251240,4796708
delhi,2021,1,10467210,281201600
uttarakhand,2021,1,2802122,59282260
puducherry,2021,2,369961,5178916
tamil nadu,2021,2,17804542,343968474
uttar pradesh,2021,2,31651894,673598864
madhya pradesh,2021,2,15940935,727741649
andhra pradesh,2021,2,19620905,1044705436
tripura,2021,2,472153,9500881
lakshadweep,2021,2,4896,40301
manipur,2021,2,335409,7269002
maharashtra,2021,2,39664697,1208083592
dadra & nagar haveli & daman & diu,2021,2,344994,5062983
meghalaya,2021,2,205686,7290804
andaman & nicobar islands,2021,2,62095,2248223
haryana,2021,2,10530594,234052506
rajasthan,2021,2,18980985,1072091232
ladakh,2021,2,75048,4391632
punjab,2021,2,5976548,85894089
assam,2021,2,3617056,102003890
jharkhand,2021,2,5701503,184234107
odisha,2021,2,9891029,367576494
bihar,2021,2,14972134,371198660
kerala,2021,2,7416083,87814415
karnataka,2021,2,25751023,1051089714
chandigarh,2021,2,448572,4733924
telangana,2021,2,18306880,905317692
himachal pradesh,2021,2,1743151,43269977
west bengal,2021,2,17979979,275341466
gujarat,2021,2,15735981,282432543
sikkim,2021,2,171740,4541121
nagaland,2021,2,223337,6716892
mizoram,2021,2,92552,4014597
chhattisgarh,2021,2,4837055,205784717
jammu & kashmir,2021,2,1261267,34274559
goa,2021,2,609106,12710361
arunachal pradesh,2021,2,270572,13025849
delhi,2021,2,11182699,164997774
uttarakhand,2021,2,3004040,78380036
puducherry,2021,3,396609,6899592
tamil nadu,2021,3,19127440,459826734
uttar pradesh,2021,3,34151882,803890116
madhya pradesh,2021,3,17210233,929572924
andhra pradesh,2021,3,21059898,1258536879
tripura,2021,3,509929,12279146
lakshadweep,2021,3,5287,49127
manipur,2021,3,361749,9743772
maharashtra,2021,3,42581217,1565370852
dadra & nagar haveli & daman & diu,2021,3,371874,7162734
meghalaya,2021,3,223065,9952956
andaman & nicobar islands,2021,3,66982,3121625
haryana,2021,3,11325336,296884105
rajasthan,2021,3,20499465,1429553825
ladakh,2021,3,81210,7099550
punjab,2021,3,6434862,107614155
assam,2021,3,3918480,135288631
jharkhand,2021,3,6151843,230475998
odisha,2021,3,10652490,492879704
bihar,2021,3,16160771,421801379
kerala,2021,3,7949425,116282717
karnataka,2021,3,27614221,1366781087
chandigarh,2021,3,480463,6378807
telangana,2021,3,19615278,1107529197
himachal pradesh,2021,3,1880626,52970288
